"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
2;"J8,J9";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Female";;;
3;"C3,C5";"CP_Elec_3x5.3";2;"100u";;;
4;"D1,D2,D3,D4,D5";"LED_1206_3216Metric";5;"LED";;;
5;"J2";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack_Switch";;;
6;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
7;"J7";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
8;"R1,R9,R10";"R_1206_3216Metric";3;"470";;;
9;"R2,R3";"R_1206_3216Metric";2;"100";;;
10;"R4,R5";"R_1206_3216Metric";2;"220";;;
11;"R6";"R_1206_3216Metric";1;"10k";;;
12;"R7,R8";"R_1206_3216Metric";2;"1k";;;
13;"SW1";"SW_SPST_PTS645";1;"SW_DIP_x01";;;
14;"U1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL_my";;;
15;"U2";"SOT-223";1;"L7805";;;
16;"U3";"DIP-28_W7.62mm";1;"ATmega8-16PU";;;
17;"Y1";"Crystal_SMD_MicroCrystal_MS1V-T1K";1;"16MHz";;;
18;"C1,C2,C4,C8";"C_0805_2012Metric";4;"100n";;;
19;"C6,C7";"C_0805_2012Metric";2;"22p";;;
20;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
21;"J4,J5";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
